更新时间,#genre#
20260522 05:43,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,https://stream1.freetv.fun/ed56f455ae3fdab6f18723bceb3da6c3ee2e7ad0914baa05f5a533c02f6f303d.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-1920-1080-2.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
CCTV1,https://stream1.freetv.fun/9f70f5d60b14bb1ef93886f17fa8f20f55f4a36ac45206f6c5a5bf9654d6e4fb.m3u8
CCTV1,https://stream1.freetv.fun/f1fa8406434117dfaa5c0b174fa90a31da74b1ad921fc3ce3662a40cff4d9001.m3u8
CCTV1,https://stream1.freetv.fun/8973ff67af3f7c2d22cdf2a379e20b1bc812e963bfb3fd4bccf5a85c4953d022.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-1920-1080.m3u8
CCTV1,https://t.freetv.fun/live/cctv-1.m3u8
CCTV1,https://stream1.freetv.fun/0905e6f82d72f6c6a745f5f5bf328779cb3348751e044b96934fff521f5d97a5.m3u8
CCTV1,https://t.freetv.fun/live/cctv-1zong-he-3-1.m3u8
CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8
CCTV1,https://t.freetv.fun/live/cctv-01-3.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-1-2.m3u8
CCTV1,https://t.freetv.fun/live/cctv-1hd2.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-1920-1080-4.m3u8
CCTV1,https://stream1.freetv.fun/32f2971092f2d6d62d14ecf5b7fec403c96200d3d03e70c6bc7deb2f66cf9fbb.m3u8
CCTV1,https://stream1.freetv.fun/ee6bfbbf6bd7448cd334ce598474b15c4179f9cf07a6980cd02389132eef0af0.m3u8
CCTV1,https://t.freetv.fun/live/cctv-01-1-1.m3u8
CCTV1,https://t.freetv.fun/live/tang-he-yi-tao-2.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,https://t.freetv.fun/live/cctv2hd-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv22.m3u8
CCTV2,https://stream1.freetv.fun/c211dc7c7e361326eeb316f377006a6121762f74c3888cffce2ca82411c5d284.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-1920-1080-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-2-1.m3u8
CCTV2,https://t.freetv.fun/live/cn-cctv-2.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV2,https://stream1.freetv.fun/ddc1240d9cafb3571f6af0ae89031e56412c7501e12876ce26bad8ddfe7a2f52.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-18.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-4m1080.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-2.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-4.m3u8
CCTV2,https://t.freetv.fun/live/cctv2cai-jing-gao-qing.m3u8
CCTV2,https://t.freetv.fun/live/2cai-jing-5.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-gao-qing-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-15.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-4m1080-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-mcp.m3u8
